event_time,org_no,load_iden_data1,load_iden_data2,load_iden_data3,load_iden_data4,load_iden_data5,load_iden_data6,load_iden_data7,load_iden_data8,load_iden_data13,load_iden_data14,load_iden_data15,load_iden_data26,load_iden_data27,load_iden_data28,load_iden_data29,load_iden_data30,load_iden_data31,load_iden_data32,load_iden_data33,load_iden_data34,load_iden_data35,load_iden_data36,load_iden_data43,load_iden_data49,load_iden_data50,load_iden_data51,load_iden_data73,load_iden_data74,load_iden_data75,load_iden_data76,load_iden_data77,load_iden_data78,load_iden_data79,load_iden_data80,load_iden_data87,load_iden_data88,load_iden_data98,load_iden_data99,load_iden_data100,load_iden_data101,load_iden_data102,load_iden_data103,load_iden_data104,load_iden_data105,load_iden_data106,load_iden_data107,load_iden_data108
2025/07/11 00:00:59,,484,685,11,21,12,5,33810,688,0,0,1379,3438,1853,6504,4871,3415,0,0,0,0,0,0,0,0,0,973,486,686,13,17,13,4,48686,987,-3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:05:59,,487,688,11,22,12,6,33937,694,0,0,793,2026,2301,2090,8494,7386,0,0,0,0,0,0,0,0,0,0,487,688,13,18,13,4,48190,985,-4,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:10:59,,463,654,11,20,12,6,32282,693,0,0,2861,5698,4156,1698,4703,3276,0,0,0,0,0,0,0,0,0,0,461,652,12,18,13,5,45765,985,-3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:15:59,,431,609,12,20,14,7,30359,697,0,0,2908,3161,3814,2921,3724,3153,0,0,0,0,0,0,0,0,0,0,427,604,12,18,14,6,42527,984,3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:20:59,,429,606,13,20,14,7,30195,697,0,0,587,2353,3463,4422,3020,3511,0,0,0,0,0,0,0,0,0,-42,422,596,12,18,14,6,42001,985,-3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:25:59,,426,601,13,20,14,7,29786,692,0,0,1173,5129,3296,4322,3557,6789,0,0,0,0,0,0,0,0,0,-108,419,592,12,19,14,6,41727,985,17,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:30:59,,411,581,13,21,15,7,28062,674,0,0,1777,3178,4561,2457,9387,9345,0,0,0,0,0,0,0,0,0,0,409,578,11,20,15,6,40676,982,-3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:35:59,,412,582,13,21,16,7,27387,656,0,0,1382,2889,6312,4378,9636,3975,0,0,0,0,0,0,0,0,0,0,411,581,12,20,16,5,40869,981,-12,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:40:59,,419,592,13,21,16,7,27512,649,0,0,338,4457,2700,4780,11729,10162,0,0,0,0,0,0,0,0,0,0,417,589,12,20,16,5,41563,983,3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:45:59,,401,567,13,20,16,7,26689,656,0,0,739,8571,5748,3330,2473,1581,0,0,0,0,0,0,0,0,0,0,399,563,13,19,16,5,39717,982,3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:50:59,,379,535,13,21,16,7,25799,670,0,0,739,2978,2875,17681,25264,20561,0,0,0,0,0,0,0,0,0,-995,376,531,13,19,16,5,37385,979,-3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 00:55:59,,368,520,13,21,16,7,25169,672,0,0,417,3562,13546,13251,3583,4553,0,0,0,0,0,0,0,0,0,0,366,516,14,19,17,5,36427,979,-2,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:00:59,,367,518,12,22,15,7,24934,668,0,0,752,5564,4649,21622,126220,5655,0,0,0,0,0,0,0,0,0,0,364,514,14,19,15,5,36307,980,6,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:05:59,,377,533,12,22,14,7,25600,667,0,0,1248,4399,2906,3402,5090,2955,0,0,0,0,0,0,0,0,0,372,373,527,14,20,13,5,37326,981,-11,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:10:59,,385,544,11,22,14,7,25879,659,0,0,1085,4386,4347,8353,3623,3339,0,0,0,0,0,0,0,0,0,138,383,542,14,20,13,5,38433,983,3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:15:59,,384,542,11,22,14,7,25297,647,0,0,491,9464,2022,2212,2062,11586,0,0,0,0,0,0,0,0,0,0,384,543,14,20,13,5,38644,986,4,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:20:59,,369,520,11,22,14,6,24236,644,0,0,878,4044,2689,1981,2728,2837,0,0,0,0,0,0,0,0,0,0,367,518,14,20,13,5,36930,985,5,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:25:59,,354,500,11,22,14,7,23288,644,0,0,909,2808,2909,1792,3378,9279,0,0,0,0,0,0,0,0,0,-1670,352,496,14,20,13,5,35397,985,-5,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:30:59,,350,494,11,21,14,7,22931,641,0,0,159,3105,3595,3081,4577,3147,0,0,0,0,0,0,0,0,0,0,351,495,14,19,13,5,35352,986,-3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:35:59,,360,509,11,20,13,7,23376,634,0,0,527,3703,3343,5873,6077,15737,0,0,0,0,0,0,0,0,0,0,363,513,15,19,13,5,36672,987,-4,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:40:59,,377,532,11,20,13,6,24169,627,0,0,609,6844,2705,1808,5222,4684,0,0,0,0,0,0,0,0,0,0,380,537,15,18,12,5,38499,989,-5,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:45:59,,388,548,11,19,12,6,24770,623,0,0,491,3941,4630,3842,24866,30660,0,0,0,0,0,0,0,0,0,0,391,552,15,17,11,4,39588,989,2,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:50:59,,387,547,11,19,12,5,24757,625,0,0,517,11583,11662,8567,2683,4271,0,0,0,0,0,0,0,0,0,0,389,549,15,17,11,4,39405,989,5,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 01:55:59,,364,515,11,20,14,5,23816,638,0,0,596,3375,3214,8380,7107,1642,0,0,0,0,0,0,0,0,0,-242,366,517,15,18,13,4,37040,987,-3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
2025/07/11 02:00:59,,351,495,11,19,14,6,23463,653,0,0,590,2118,4707,4810,3633,2341,0,0,0,0,0,0,0,0,0,0,349,493,15,17,13,5,35276,985,3,-2147483648,0,0,0,0,0,0,0,0,0,0,0
